date,region,rep,channel,units,revenue
2026-07-02,West,Cai Moreau,web,"2,285",91400.00
2026-07-02,East,Cai Moreau,direct,309,12360.00
2026-07-02,North,Dara Nkemi,partner,585,23400.00
2026-07-02,South,Dara Nkemi,web,"2,269",90760.00
2026-07-02,West,Ada Okafor,direct,"1,983",79320.00
2026-07-02,East,Ada Okafor,partner,"1,699",67960.00
2026-07-02,North,Ben Iyer,web,265,10600.00
2026-07-02,South,Ben Iyer,direct,290,11600.00
2026-07-02,West,Cai Moreau,partner,"1,676",67040.00
2026-07-02,East,Cai Moreau,web,234,9360.00
2026-07-02,North,Dara Nkemi,direct,"1,289",51560.00
2026-07-02,South,Dara Nkemi,partner,"1,766",70640.00
2026-07-02,West,Ada Okafor,web,796,31840.00
2026-07-02,East,Ada Okafor,direct,810,32400.00
2026-07-02,North,Ben Iyer,partner,511,20440.00
2026-07-02,South,Ben Iyer,web,937,37480.00
2026-07-02,West,Cai Moreau,direct,"1,658",66320.00
2026-07-02,East,Cai Moreau,partner,"2,105",84200.00
2026-07-02,North,Dara Nkemi,web,678,27120.00
2026-07-02,South,Dara Nkemi,direct,"2,228",89120.00
2026-07-02,West,Ada Okafor,partner,443,17720.00
2026-07-02,East,Ada Okafor,web,462,18480.00
2026-07-02,North,Ben Iyer,direct,940,37600.00
2026-07-02,South,Ben Iyer,partner,245,9800.00
2026-07-02,West,Cai Moreau,web,"1,402",56080.00
2026-07-02,East,Cai Moreau,direct,892,35680.00
2026-07-02,North,Dara Nkemi,partner,375,15000.00
2026-07-02,South,Dara Nkemi,web,"2,500",100000.00
2026-07-02,West,Ada Okafor,direct,"2,567",102680.00
2026-07-02,East,Ada Okafor,partner,955,38200.00
2026-07-02,North,Ben Iyer,web,"1,615",64600.00
2026-07-02,South,Ben Iyer,direct,674,26960.00
2026-07-02,West,Cai Moreau,partner,"1,483",59320.00
2026-07-02,East,Cai Moreau,web,"2,307",92280.00
2026-07-02,North,Dara Nkemi,direct,"2,267",90680.00
2026-07-02,South,Dara Nkemi,partner,"1,636",65440.00
2026-07-02,West,Ada Okafor,web,"1,292",51680.00
2026-07-02,East,Ada Okafor,direct,"2,334",93360.00
2026-07-03,North,Ben Iyer,partner,"1,240",49600.00
2026-07-03,South,Ben Iyer,web,215,8600.00
2026-07-03,West,Cai Moreau,direct,"2,169",86760.00
2026-07-03,East,Cai Moreau,partner,604,24160.00
2026-07-03,North,Dara Nkemi,web,"2,407",96280.00
2026-07-03,South,Dara Nkemi,direct,"1,270",50800.00
2026-07-03,West,Ada Okafor,partner,359,14360.00
2026-07-03,East,Ada Okafor,web,264,10560.00
2026-07-03,North,Ben Iyer,direct,"2,163",86520.00
2026-07-03,South,Ben Iyer,partner,395,15800.00
2026-07-03,West,Cai Moreau,web,"2,132",85280.00
2026-07-03,East,Cai Moreau,direct,519,20760.00
2026-07-03,North,Dara Nkemi,partner,"1,561",62440.00
2026-07-03,South,Dara Nkemi,web,185,7400.00
2026-07-03,West,Ada Okafor,direct,"1,419",56760.00
2026-07-03,East,Ada Okafor,partner,504,20160.00
2026-07-03,North,Ben Iyer,web,"2,587",103480.00
2026-07-03,South,Ben Iyer,direct,"2,448",97920.00
2026-07-03,West,Cai Moreau,partner,"1,347",53880.00
2026-07-03,East,Cai Moreau,web,"1,374",54960.00
2026-07-03,North,Dara Nkemi,direct,"1,531",61240.00
2026-07-03,South,Dara Nkemi,partner,"1,977",79080.00
2026-07-03,West,Ada Okafor,web,633,25320.00
2026-07-03,East,Ada Okafor,direct,"1,476",59040.00
2026-07-03,North,Ben Iyer,partner,"1,007",40280.00
2026-07-03,South,Ben Iyer,web,"1,116",44640.00
2026-07-03,West,Cai Moreau,direct,249,9960.00
2026-07-03,East,Cai Moreau,partner,489,19560.00
2026-07-03,North,Dara Nkemi,web,471,18840.00
2026-07-03,South,Dara Nkemi,direct,"1,824",72960.00
2026-07-03,West,Ada Okafor,partner,520,20800.00
2026-07-03,East,Ada Okafor,web,"1,852",74080.00
2026-07-03,North,Ben Iyer,direct,"2,445",97800.00
2026-07-03,South,Ben Iyer,partner,"2,116",84640.00
2026-07-03,West,Cai Moreau,web,"2,337",93480.00
2026-07-03,East,Cai Moreau,direct,"1,343",53720.00
2026-07-03,North,Dara Nkemi,partner,515,20600.00
2026-07-03,South,Dara Nkemi,web,"2,531",101240.00
2026-07-03,West,Ada Okafor,direct,955,38200.00
2026-07-03,East,Ada Okafor,partner,"1,634",65360.00
2026-07-03,North,Ben Iyer,web,512,20480.00
2026-07-03,South,Ben Iyer,direct,707,28280.00
2026-07-03,West,Cai Moreau,partner,"1,661",66440.00
2026-07-03,East,Cai Moreau,web,"1,853",74120.00
2026-07-03,North,Dara Nkemi,direct,"1,832",73280.00
2026-07-03,South,Dara Nkemi,partner,674,26960.00
2026-07-03,West,Ada Okafor,web,544,21760.00
2026-07-03,East,Ada Okafor,direct,"2,521",100840.00
2026-07-03,North,Ben Iyer,partner,"1,381",55240.00
2026-07-03,South,Ben Iyer,web,544,21760.00
2026-07-03,West,Cai Moreau,direct,"1,113",44520.00
2026-07-03,East,Cai Moreau,partner,"1,622",64880.00
2026-07-03,North,Dara Nkemi,web,"1,745",69800.00
2026-07-04,South,Dara Nkemi,direct,"2,389",95560.00
2026-07-04,West,Ada Okafor,partner,488,19520.00
2026-07-04,East,Ada Okafor,web,975,39000.00
2026-07-04,North,Ben Iyer,direct,"1,991",79640.00
2026-07-04,South,Ben Iyer,partner,"1,410",56400.00
2026-07-04,West,Cai Moreau,web,"1,148",45920.00
2026-07-04,East,Cai Moreau,direct,"1,290",51600.00
2026-07-04,North,Dara Nkemi,partner,916,36640.00
2026-07-04,South,Dara Nkemi,web,"1,939",77560.00
2026-07-04,West,Ada Okafor,direct,655,26200.00
2026-07-04,East,Ada Okafor,partner,"1,951",78040.00
2026-07-04,North,Ben Iyer,web,"1,072",42880.00
2026-07-04,South,Ben Iyer,direct,539,21560.00
2026-07-04,West,Cai Moreau,partner,"1,686",67440.00
2026-07-04,East,Cai Moreau,web,"1,782",71280.00
2026-07-04,North,Dara Nkemi,direct,"2,202",88080.00
2026-07-04,South,Dara Nkemi,partner,"2,254",90160.00
2026-07-04,West,Ada Okafor,web,"1,844",73760.00
2026-07-04,East,Ada Okafor,direct,864,34560.00
2026-07-04,North,Ben Iyer,partner,"2,230",89200.00
2026-07-04,South,Ben Iyer,web,"2,211",88440.00
2026-07-04,West,Cai Moreau,direct,"1,111",44440.00
2026-07-04,East,Cai Moreau,partner,"2,305",92200.00
2026-07-04,North,Dara Nkemi,web,"1,915",76600.00
2026-07-04,South,Dara Nkemi,direct,"2,394",95760.00
2026-07-04,West,Ada Okafor,partner,281,11240.00
2026-07-04,East,Ada Okafor,web,585,23400.00
2026-07-04,North,Ben Iyer,direct,"2,109",84360.00
2026-07-04,South,Ben Iyer,partner,"2,418",96720.00
2026-07-04,West,Cai Moreau,web,"1,953",78120.00
2026-07-04,East,Cai Moreau,direct,989,39560.00
2026-07-04,North,Dara Nkemi,partner,"1,429",57160.00
2026-07-04,South,Dara Nkemi,web,"1,980",79200.00
2026-07-04,West,Ada Okafor,direct,"1,176",47040.00
2026-07-04,East,Ada Okafor,partner,"1,109",44360.00
2026-07-04,North,Ben Iyer,web,"1,542",61680.00
2026-07-04,South,Ben Iyer,direct,"2,375",95000.00
2026-07-04,West,Cai Moreau,partner,691,27640.00
2026-07-04,East,Cai Moreau,web,"2,041",81640.00
2026-07-04,North,Dara Nkemi,direct,470,18800.00
2026-07-04,South,Dara Nkemi,partner,813,32520.00
2026-07-04,West,Ada Okafor,web,"1,921",76840.00
2026-07-04,East,Ada Okafor,direct,235,9400.00
2026-07-04,North,Ben Iyer,partner,"1,314",52560.00
2026-07-04,South,Ben Iyer,web,626,25040.00
2026-07-04,West,Cai Moreau,direct,"1,437",57480.00
2026-07-04,East,Cai Moreau,partner,292,11680.00
2026-07-04,North,Dara Nkemi,web,"1,886",75440.00
2026-07-04,South,Dara Nkemi,direct,"1,037",41480.00
2026-07-04,West,Ada Okafor,partner,585,23400.00
2026-07-04,East,Ada Okafor,web,"1,842",73680.00
2026-07-04,North,Ben Iyer,direct,790,31600.00
2026-07-04,South,Ben Iyer,partner,714,28560.00
2026-07-05,West,Cai Moreau,web,"2,487",99480.00
2026-07-05,East,Cai Moreau,direct,"1,301",52040.00
2026-07-05,North,Dara Nkemi,partner,305,12200.00
2026-07-05,South,Dara Nkemi,web,303,12120.00
2026-07-05,West,Ada Okafor,direct,650,26000.00
2026-07-05,East,Ada Okafor,partner,"2,301",92040.00
2026-07-05,North,Ben Iyer,web,"2,112",84480.00
2026-07-05,South,Ben Iyer,direct,"2,494",99760.00
2026-07-05,West,Cai Moreau,partner,"1,612",64480.00
2026-07-05,East,Cai Moreau,web,196,7840.00
2026-07-05,North,Dara Nkemi,direct,"2,164",86560.00
2026-07-05,South,Dara Nkemi,partner,"1,752",70080.00
2026-07-05,West,Ada Okafor,web,"1,315",52600.00
2026-07-05,East,Ada Okafor,direct,818,32720.00
2026-07-05,North,Ben Iyer,partner,"1,696",67840.00
2026-07-05,South,Ben Iyer,web,"2,456",98240.00
2026-07-05,West,Cai Moreau,direct,776,31040.00
2026-07-05,East,Cai Moreau,partner,"1,351",54040.00
2026-07-05,North,Dara Nkemi,web,"1,129",45160.00
2026-07-05,South,Dara Nkemi,direct,"2,496",99840.00
2026-07-05,West,Ada Okafor,partner,559,22360.00
2026-07-05,East,Ada Okafor,web,948,37920.00
2026-07-05,North,Ben Iyer,direct,"1,493",59720.00
2026-07-05,South,Ben Iyer,partner,"2,351",94040.00
2026-07-05,West,Cai Moreau,web,"1,474",58960.00
2026-07-05,East,Cai Moreau,direct,614,24560.00
2026-07-05,North,Dara Nkemi,partner,"1,892",75680.00
2026-07-05,South,Dara Nkemi,web,"2,334",93360.00
2026-07-05,West,Ada Okafor,direct,680,27200.00
2026-07-05,East,Ada Okafor,partner,"2,051",82040.00
2026-07-05,North,Ben Iyer,web,325,13000.00
2026-07-05,South,Ben Iyer,direct,"1,467",58680.00
2026-07-05,West,Cai Moreau,partner,"2,290",91600.00
2026-07-05,East,Cai Moreau,web,"1,259",50360.00
2026-07-05,North,Dara Nkemi,direct,"2,426",97040.00
2026-07-05,South,Dara Nkemi,partner,"1,929",77160.00
2026-07-05,West,Ada Okafor,web,"1,611",64440.00
2026-07-05,East,Ada Okafor,direct,526,21040.00
2026-07-05,North,Ben Iyer,partner,"1,475",59000.00
2026-07-05,South,Ben Iyer,web,"2,533",101320.00
2026-07-05,West,Cai Moreau,direct,697,27880.00
2026-07-05,East,Cai Moreau,partner,"1,375",55000.00
2026-07-05,North,Dara Nkemi,web,"2,179",87160.00
2026-07-05,South,Dara Nkemi,direct,"1,962",78480.00
2026-07-05,West,Ada Okafor,partner,487,19480.00
2026-07-05,East,Ada Okafor,web,739,29560.00
2026-07-05,North,Ben Iyer,direct,468,18720.00
2026-07-05,South,Ben Iyer,partner,"1,356",54240.00
2026-07-05,West,Cai Moreau,web,455,18200.00
2026-07-05,East,Cai Moreau,direct,"2,586",103440.00
2026-07-05,North,Dara Nkemi,partner,"1,432",57280.00
2026-07-05,South,Dara Nkemi,web,251,10040.00
2026-07-05,West,Ada Okafor,direct,"1,283",51320.00
2026-07-06,East,Ada Okafor,partner,"1,047",41880.00
2026-07-06,North,Ben Iyer,web,878,35120.00
2026-07-06,South,Ben Iyer,direct,377,15080.00
2026-07-06,West,Cai Moreau,partner,292,11680.00
2026-07-06,East,Cai Moreau,web,"1,288",51520.00
2026-07-06,North,Dara Nkemi,direct,"1,828",73120.00
2026-07-06,South,Dara Nkemi,partner,"1,709",68360.00
2026-07-06,West,Ada Okafor,web,"1,019",40760.00
2026-07-06,East,Ada Okafor,direct,"1,773",70920.00
2026-07-06,North,Ben Iyer,partner,663,26520.00
2026-07-06,South,Ben Iyer,web,"1,605",64200.00
2026-07-06,West,Cai Moreau,direct,586,23440.00
2026-07-06,East,Cai Moreau,partner,"1,156",46240.00
2026-07-06,North,Dara Nkemi,web,909,36360.00
2026-07-06,South,Dara Nkemi,direct,"2,401",96040.00
2026-07-06,West,Ada Okafor,partner,"1,503",60120.00
2026-07-06,East,Ada Okafor,web,607,24280.00
2026-07-06,North,Ben Iyer,direct,851,34040.00
2026-07-06,South,Ben Iyer,partner,"1,229",49160.00
2026-07-06,West,Cai Moreau,web,746,29840.00
2026-07-06,East,Cai Moreau,direct,"1,143",45720.00
2026-07-06,North,Dara Nkemi,partner,"2,065",82600.00
2026-07-06,South,Dara Nkemi,web,"2,067",82680.00
2026-07-06,West,Ada Okafor,direct,701,28040.00
2026-07-06,East,Ada Okafor,partner,"1,556",62240.00
2026-07-06,North,Ben Iyer,web,"1,599",63960.00
2026-07-06,South,Ben Iyer,direct,"1,763",70520.00
2026-07-06,West,Cai Moreau,partner,375,15000.00
2026-07-06,East,Cai Moreau,web,"2,269",90760.00
2026-07-06,North,Dara Nkemi,direct,528,21120.00
2026-07-06,South,Dara Nkemi,partner,"1,345",53800.00
2026-07-06,West,Ada Okafor,web,"2,390",95600.00
2026-07-06,East,Ada Okafor,direct,"2,516",100640.00
2026-07-06,North,Ben Iyer,partner,"1,447",57880.00
2026-07-06,South,Ben Iyer,web,"1,009",40360.00
2026-07-06,West,Cai Moreau,direct,235,9400.00
2026-07-06,East,Cai Moreau,partner,394,15760.00
2026-07-06,North,Dara Nkemi,web,996,39840.00
2026-07-06,South,Dara Nkemi,direct,"2,301",92040.00
2026-07-06,West,Ada Okafor,partner,"1,411",56440.00
2026-07-06,East,Ada Okafor,web,"1,524",60960.00
2026-07-06,North,Ben Iyer,direct,279,11160.00
2026-07-06,South,Ben Iyer,partner,"1,728",69120.00
2026-07-06,West,Cai Moreau,web,740,29600.00
2026-07-06,East,Cai Moreau,direct,251,10040.00
2026-07-06,North,Dara Nkemi,partner,610,24400.00
2026-07-06,South,Dara Nkemi,web,267,10680.00
2026-07-06,West,Ada Okafor,direct,759,30360.00
2026-07-06,East,Ada Okafor,partner,"2,340",93600.00
2026-07-06,North,Ben Iyer,web,"2,320",92800.00
2026-07-06,South,Ben Iyer,direct,"2,442",97680.00
2026-07-06,West,Cai Moreau,partner,"2,370",94800.00
2026-07-06,East,Cai Moreau,web,523,20920.00
2026-07-07,North,Dara Nkemi,direct,213,8520.00
2026-07-07,South,Dara Nkemi,partner,"1,997",79880.00
2026-07-07,West,Ada Okafor,web,594,23760.00
2026-07-07,East,Ada Okafor,direct,"1,878",75120.00
2026-07-07,North,Ben Iyer,partner,882,35280.00
2026-07-07,South,Ben Iyer,web,"2,362",94480.00
2026-07-07,West,Cai Moreau,direct,318,12720.00
2026-07-07,East,Cai Moreau,partner,"1,650",66000.00
2026-07-07,North,Dara Nkemi,web,"1,532",61280.00
2026-07-07,South,Dara Nkemi,direct,233,9320.00
2026-07-07,West,Ada Okafor,partner,893,35720.00
2026-07-07,East,Ada Okafor,web,886,35440.00
2026-07-07,North,Ben Iyer,direct,654,26160.00
2026-07-07,South,Ben Iyer,partner,"2,379",95160.00
2026-07-07,West,Cai Moreau,web,"2,505",100200.00
2026-07-07,East,Cai Moreau,direct,265,10600.00
2026-07-07,North,Dara Nkemi,partner,"1,388",55520.00
2026-07-07,South,Dara Nkemi,web,"1,128",45120.00
2026-07-07,West,Ada Okafor,direct,"1,289",51560.00
2026-07-07,East,Ada Okafor,partner,876,35040.00
2026-07-07,North,Ben Iyer,web,"2,274",90960.00
2026-07-07,South,Ben Iyer,direct,"1,796",71840.00
2026-07-07,West,Cai Moreau,partner,529,21160.00
2026-07-07,East,Cai Moreau,web,486,19440.00
2026-07-07,North,Dara Nkemi,direct,"2,510",100400.00
2026-07-07,South,Dara Nkemi,partner,"1,581",63240.00
2026-07-07,West,Ada Okafor,web,379,15160.00
2026-07-07,East,Ada Okafor,direct,332,13280.00
2026-07-07,North,Ben Iyer,partner,226,9040.00
2026-07-07,South,Ben Iyer,web,"2,070",82800.00
2026-07-07,West,Cai Moreau,direct,"1,747",69880.00
2026-07-07,East,Cai Moreau,partner,989,39560.00
2026-07-07,North,Dara Nkemi,web,383,15320.00
2026-07-07,South,Dara Nkemi,direct,915,36600.00
2026-07-07,West,Ada Okafor,partner,"1,306",52240.00
2026-07-07,East,Ada Okafor,web,767,30680.00
2026-07-07,North,Ben Iyer,direct,"1,294",51760.00
2026-07-07,South,Ben Iyer,partner,"2,072",82880.00
2026-07-07,West,Cai Moreau,web,"1,657",66280.00
2026-07-07,East,Cai Moreau,direct,"1,256",50240.00
2026-07-07,North,Dara Nkemi,partner,"1,566",62640.00
2026-07-07,South,Dara Nkemi,web,"1,938",77520.00
2026-07-07,West,Ada Okafor,direct,972,38880.00
2026-07-07,East,Ada Okafor,partner,"1,598",63920.00
2026-07-07,North,Ben Iyer,web,190,7600.00
2026-07-07,South,Ben Iyer,direct,442,17680.00
2026-07-07,West,Cai Moreau,partner,"1,534",61360.00
2026-07-07,East,Cai Moreau,web,"2,206",88240.00
2026-07-07,North,Dara Nkemi,direct,345,13800.00
2026-07-07,South,Dara Nkemi,partner,896,35840.00
2026-07-07,West,Ada Okafor,web,902,36080.00
2026-07-07,East,Ada Okafor,direct,"1,833",73320.00
2026-07-07,North,Ben Iyer,partner,"2,239",89560.00
2026-07-08,South,Ben Iyer,web,"2,473",98920.00
2026-07-08,West,Cai Moreau,direct,806,32240.00
2026-07-08,East,Cai Moreau,partner,"1,063",42520.00
2026-07-08,North,Dara Nkemi,web,"2,576",103040.00
2026-07-08,South,Dara Nkemi,direct,"2,204",88160.00
2026-07-08,West,Ada Okafor,partner,"1,145",45800.00
2026-07-08,East,Ada Okafor,web,"2,265",90600.00
2026-07-08,North,Ben Iyer,direct,475,19000.00
2026-07-08,South,Ben Iyer,partner,"1,031",41240.00
2026-07-08,West,Cai Moreau,web,"1,572",62880.00
2026-07-08,East,Cai Moreau,direct,"2,327",93080.00
2026-07-08,North,Dara Nkemi,partner,"1,542",61680.00
2026-07-08,South,Dara Nkemi,web,"2,569",102760.00
2026-07-08,West,Ada Okafor,direct,"2,588",103520.00
2026-07-08,East,Ada Okafor,partner,188,7520.00
2026-07-08,North,Ben Iyer,web,"1,101",44040.00
2026-07-08,South,Ben Iyer,direct,"1,952",78080.00
2026-07-08,West,Cai Moreau,partner,941,37640.00
2026-07-08,East,Cai Moreau,web,"1,009",40360.00
2026-07-08,North,Dara Nkemi,direct,343,13720.00
2026-07-08,South,Dara Nkemi,partner,586,23440.00
2026-07-08,West,Ada Okafor,web,"1,496",59840.00
2026-07-08,East,Ada Okafor,direct,"1,222",48880.00
2026-07-08,North,Ben Iyer,partner,366,14640.00
2026-07-08,South,Ben Iyer,web,"2,599",103960.00
2026-07-08,West,Cai Moreau,direct,"2,530",101200.00
2026-07-08,East,Cai Moreau,partner,566,22640.00
2026-07-08,North,Dara Nkemi,web,"2,596",103840.00
2026-07-08,South,Dara Nkemi,direct,656,26240.00
2026-07-08,West,Ada Okafor,partner,"2,162",86480.00
2026-07-08,East,Ada Okafor,web,"1,850",74000.00
2026-07-08,North,Ben Iyer,direct,561,22440.00
2026-07-08,South,Ben Iyer,partner,218,8720.00
2026-07-08,West,Cai Moreau,web,"1,402",56080.00
2026-07-08,East,Cai Moreau,direct,"1,566",62640.00
2026-07-08,North,Dara Nkemi,partner,"2,522",100880.00
2026-07-08,South,Dara Nkemi,web,406,16240.00
2026-07-08,West,Ada Okafor,direct,"2,253",90120.00
2026-07-08,East,Ada Okafor,partner,"1,764",70560.00
2026-07-08,North,Ben Iyer,web,274,10960.00
2026-07-08,South,Ben Iyer,direct,"1,530",61200.00
2026-07-08,West,Cai Moreau,partner,443,17720.00
2026-07-08,East,Cai Moreau,web,"1,026",41040.00
2026-07-08,North,Dara Nkemi,direct,"1,505",60200.00
2026-07-08,South,Dara Nkemi,partner,"1,313",52520.00
2026-07-08,West,Ada Okafor,web,"2,118",84720.00
2026-07-08,East,Ada Okafor,direct,556,22240.00
2026-07-08,North,Ben Iyer,partner,624,24960.00
2026-07-08,South,Ben Iyer,web,662,26480.00
2026-07-08,West,Cai Moreau,direct,"1,032",41280.00
2026-07-08,East,Cai Moreau,partner,555,22200.00
2026-07-08,North,Dara Nkemi,web,432,17280.00
2026-07-08,South,Dara Nkemi,direct,650,26000.00
2026-07-09,West,Ada Okafor,partner,"2,024",80960.00
2026-07-09,East,Ada Okafor,web,"2,099",83960.00
2026-07-09,North,Ben Iyer,direct,895,35800.00
2026-07-09,South,Ben Iyer,partner,"1,740",69600.00
2026-07-09,West,Cai Moreau,web,"1,518",60720.00
2026-07-09,East,Cai Moreau,direct,949,37960.00
2026-07-09,North,Dara Nkemi,partner,"1,720",68800.00
2026-07-09,South,Dara Nkemi,web,386,15440.00
2026-07-09,West,Ada Okafor,direct,"1,149",45960.00
2026-07-09,East,Ada Okafor,partner,"2,388",95520.00
2026-07-09,North,Ben Iyer,web,820,32800.00
2026-07-09,South,Ben Iyer,direct,"2,148",85920.00
2026-07-09,West,Cai Moreau,partner,"2,477",99080.00
2026-07-09,East,Cai Moreau,web,"2,261",90440.00
2026-07-09,North,Dara Nkemi,direct,"1,288",51520.00
2026-07-09,South,Dara Nkemi,partner,"2,435",97400.00
2026-07-09,West,Ada Okafor,web,"2,409",96360.00
2026-07-09,East,Ada Okafor,direct,"1,581",63240.00
2026-07-09,North,Ben Iyer,partner,"1,793",71720.00
2026-07-09,South,Ben Iyer,web,"1,614",64560.00
2026-07-09,West,Cai Moreau,direct,"1,503",60120.00
2026-07-09,East,Cai Moreau,partner,"2,155",86200.00
2026-07-09,North,Dara Nkemi,web,254,10160.00
2026-07-09,South,Dara Nkemi,direct,969,38760.00
2026-07-09,West,Ada Okafor,partner,"2,109",84360.00
2026-07-09,East,Ada Okafor,web,185,7400.00
2026-07-09,North,Ben Iyer,direct,"1,390",55600.00
2026-07-09,South,Ben Iyer,partner,595,23800.00
2026-07-09,West,Cai Moreau,web,403,16120.00
2026-07-09,East,Cai Moreau,direct,"1,784",71360.00
2026-07-09,North,Dara Nkemi,partner,657,26280.00
2026-07-09,South,Dara Nkemi,web,"1,818",72720.00
2026-07-09,West,Ada Okafor,direct,606,24240.00
2026-07-09,East,Ada Okafor,partner,"2,176",87040.00
2026-07-09,North,Ben Iyer,web,"2,021",80840.00
2026-07-09,South,Ben Iyer,direct,"1,369",54760.00
2026-07-09,West,Cai Moreau,partner,693,27720.00
2026-07-09,East,Cai Moreau,web,"2,498",99920.00
2026-07-09,North,Dara Nkemi,direct,795,31800.00
2026-07-09,South,Dara Nkemi,partner,"1,824",72960.00
2026-07-09,West,Ada Okafor,web,"2,474",98960.00
2026-07-09,East,Ada Okafor,direct,"1,569",62760.00
2026-07-09,North,Ben Iyer,partner,"1,895",75800.00
2026-07-09,South,Ben Iyer,web,"1,272",50880.00
2026-07-09,West,Cai Moreau,direct,318,12720.00
2026-07-09,East,Cai Moreau,partner,"1,342",53680.00
2026-07-09,North,Dara Nkemi,web,"2,195",87800.00
2026-07-09,South,Dara Nkemi,direct,377,15080.00
2026-07-09,West,Ada Okafor,partner,"1,936",77440.00
2026-07-09,East,Ada Okafor,web,277,11080.00
2026-07-09,North,Ben Iyer,direct,"1,476",59040.00
2026-07-09,South,Ben Iyer,partner,"2,434",97360.00
2026-07-09,West,Cai Moreau,web,"1,428",57120.00
2026-07-10,East,Cai Moreau,direct,"1,703",68120.00
2026-07-10,North,Dara Nkemi,partner,"1,014",40560.00
2026-07-10,South,Dara Nkemi,web,"2,160",86400.00
2026-07-10,West,Ada Okafor,direct,"2,165",86600.00
2026-07-10,East,Ada Okafor,partner,"1,279",51160.00
2026-07-10,North,Ben Iyer,web,962,38480.00
2026-07-10,South,Ben Iyer,direct,283,11320.00
2026-07-10,West,Cai Moreau,partner,"1,261",50440.00
